"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"77681",10827899,"JA129195","01/25/2017 08:00:00 AM","029XX S FEDERAL ST","0820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)","false","false",133,1,3,35,"06",1176106,1885672,2017,"02/14/2017 03:49:42 PM",41.841644999,-87.629239428,"(41.841644999, -87.629239428)"
"69002",10842783,"JA146065","01/27/2017 11:00:00 AM","007XX S MICHIGAN AVE","0890","THEFT","FROM BUILDING","HOTEL/MOTEL","false","false",123,1,2,32,"06",1177389,1897003,2017,"02/14/2017 03:49:42 PM",41.872709056,-87.624187857,"(41.872709056, -87.624187857)"
"4185",10943455,"JA261848","05/12/2017 02:00:00 PM","071XX S VINCENNES AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",731,7,6,69,"06",1176662,1857822,2017,"05/19/2017 03:52:48 PM",41.765209455,-87.628037736,"(41.765209455, -87.628037736)"
"65509",10847026,"JA150772","02/12/2017 08:25:00 AM","006XX S KOSTNER AVE","5110","OTHER OFFENSE","GUN OFFENDER: DUTY TO REGISTER","STREET","true","false",1131,11,24,26,"26",1147147,1897021,2017,"02/19/2017 03:47:01 PM",41.87339039,-87.735220099,"(41.87339039, -87.735220099)"
"41690",10885004,"JA194850","03/21/2017 01:13:00 AM","014XX S INDIANA AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",132,1,2,33,"06",1177890,1893527,2017,"03/28/2017 03:56:52 PM",41.86315933,-87.622454163,"(41.86315933, -87.622454163)"
"78118",10826996,"JA128374","01/24/2017 03:20:00 PM","046XX W DIVERSEY AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",2521,25,31,20,"06",1144951,1918212,2017,"02/14/2017 03:49:42 PM",41.931582515,-87.742747165,"(41.931582515, -87.742747165)"
"58876",10863406,"JA142804","02/05/2017 05:40:00 PM","0000X N KILBOURN AVE","5011","OTHER OFFENSE","LICENSE VIOLATION","GAS STATION","false","false",1113,11,28,26,"26",1146387,1899777,2017,"03/01/2017 03:50:24 PM",41.88096768,-87.737940272,"(41.88096768, -87.737940272)"
"86570",10813003,"JA112154","01/10/2017 02:00:00 PM","015XX W AUGUSTA BLVD","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",1213,12,27,24,"14",1166060,1906762,2017,"02/14/2017 03:49:42 PM",41.8997378,-87.665502719,"(41.8997378, -87.665502719)"
"26798",10908889,"JA221628","04/12/2017 01:30:00 AM","014XX W 109TH PL","0820","THEFT","$500 AND UNDER","RESIDENCE","false","true",2234,22,34,75,"06",1168771,1832138,2017,"04/19/2017 03:53:51 PM",41.694902715,-87.657699542,"(41.694902715, -87.657699542)"
"71203",10838435,"JA140994","02/03/2017 09:50:00 PM","003XX S KILPATRICK AVE","0320","ROBBERY","STRONGARM - NO WEAPON","RESIDENCE PORCH/HALLWAY","false","false",1131,11,24,25,"03",1145108,1898103,2017,"02/14/2017 03:49:42 PM",41.876398275,-87.742679026,"(41.876398275, -87.742679026)"
"46042",10877259,"JA186292","03/13/2017 06:00:00 PM","004XX N LAKE SHORE DR NB","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT/GARAGE(NON.RESID.)","false","false",1834,18,42,8,"14",1180139,1903543,2017,"03/20/2017 03:59:14 PM",41.890592344,-87.613890199,"(41.890592344, -87.613890199)"
"37565",10890992,"JA201916","03/27/2017 04:00:00 AM","034XX W 63RD ST","2093","NARCOTICS","FOUND SUSPECT NARCOTICS","POLICE FACILITY/VEH PARKING LOT","true","false",823,8,15,66,"18",1154582,1862632,2017,"04/03/2017 03:56:38 PM",41.778877155,-87.708840106,"(41.778877155, -87.708840106)"
"54862",10864273,"JA170681","02/28/2017 10:00:00 PM","075XX S STONY ISLAND AVE","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","true","false",411,4,5,43,"06",1188123,1855151,2017,"03/07/2017 03:54:38 PM",41.757614433,-87.586115266,"(41.757614433, -87.586115266)"
"42973",10884978,"JA194813","03/18/2017 02:00:00 PM","054XX N WINTHROP AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE PORCH/HALLWAY","false","false",2023,20,48,77,"14",1167886,1936364,2017,"03/25/2017 03:46:32 PM",41.980927853,-87.657939191,"(41.980927853, -87.657939191)"
"18543",10922014,"JA236001","04/23/2017 01:20:00 PM","008XX N MONTICELLO AVE","2014","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","ABANDONED BUILDING","true","false",1112,11,27,23,"18",1151896,1905429,2017,"04/30/2017 03:50:43 PM",41.896370692,-87.717562519,"(41.896370692, -87.717562519)"
